iter	Passed	Remaining
0	10	10080
1	21	10975
2	31	10531
3	40	10152
4	50	10065
5	60	9970
6	73	10487
7	84	10495
8	95	10461
9	105	10469
10	116	10513
11	128	10604
12	139	10604
13	157	11066
14	174	11480
15	200	12301
16	217	12548
17	232	12699
18	252	13051
19	271	13293
20	285	13286
21	298	13264
22	307	13056
23	317	12921
24	328	12829
25	339	12714
26	350	12619
27	360	12514
28	371	12427
29	382	12368
30	394	12317
31	405	12252
32	418	12273
33	431	12251
34	442	12201
35	452	12106
36	463	12067
37	476	12052
38	487	12013
39	498	11963
40	510	11934
41	520	11878
42	531	11830
43	543	11801
44	554	11771
45	564	11717
46	576	11688
47	588	11668
48	599	11634
49	610	11591
50	622	11574
51	632	11527
52	644	11511
53	655	11478
54	666	11447
55	676	11407
56	687	11370
57	697	11331
58	707	11291
59	719	11268
60	729	11228
61	739	11182
62	748	11135
63	758	11096
64	771	11099
65	782	11071
66	792	11031
67	801	10991
68	812	10962
69	823	10935
70	834	10914
71	844	10883
72	855	10863
73	866	10845
74	877	10818
75	887	10792
76	898	10770
77	908	10733
78	918	10712
79	930	10695
80	940	10674
81	951	10651
82	962	10635
83	973	10616
84	984	10593
85	995	10578
86	1006	10562
87	1018	10550
88	1028	10529
89	1039	10513
90	1050	10492
91	1061	10477
92	1072	10457
93	1083	10443
94	1094	10424
95	1105	10406
96	1116	10395
97	1127	10381
98	1139	10368
99	1150	10357
100	1161	10337
101	1170	10306
102	1179	10275
103	1189	10244
104	1198	10219
105	1210	10208
106	1221	10194
107	1233	10184
108	1243	10168
109	1256	10166
110	1267	10151
111	1277	10128
112	1289	10121
113	1299	10100
114	1310	10081
115	1320	10062
116	1331	10048
117	1341	10029
118	1352	10014
119	1363	9999
120	1374	9982
121	1384	9965
122	1396	9953
123	1408	9948
124	1420	9944
125	1435	9958
126	1447	9950
127	1458	9933
128	1469	9922
129	1480	9907
130	1492	9898
131	1503	9887
132	1515	9876
133	1530	9892
134	1543	9887
135	1554	9877
136	1566	9868
137	1577	9851
138	1588	9838
139	1599	9827
140	1611	9819
141	1622	9804
142	1634	9795
143	1645	9782
144	1657	9775
145	1667	9752
146	1677	9736
147	1689	9728
148	1700	9713
149	1712	9704
150	1723	9692
151	1735	9680
152	1746	9669
153	1756	9646
154	1767	9635
155	1779	9626
156	1788	9604
157	1799	9592
158	1811	9579
159	1822	9569
160	1833	9552
161	1843	9535
162	1854	9522
163	1864	9506
164	1875	9492
165	1886	9479
166	1897	9462
167	1907	9446
168	1918	9432
169	1928	9418
170	1940	9407
171	1952	9400
172	1965	9393
173	1978	9390
174	1990	9382
175	2003	9378
176	2014	9368
177	2027	9364
178	2038	9351
179	2050	9340
180	2061	9327
181	2073	9317
182	2083	9301
183	2095	9293
184	2106	9281
185	2119	9275
186	2133	9275
187	2145	9266
188	2158	9259
189	2169	9250
190	2182	9243
191	2194	9236
192	2207	9229
193	2219	9222
194	2232	9215
195	2244	9204
196	2256	9199
197	2268	9189
198	2282	9186
199	2295	9180
200	2307	9171
201	2319	9164
202	2330	9150
203	2341	9137
204	2353	9125
205	2366	9120
206	2377	9107
207	2388	9095
208	2399	9082
209	2411	9071
210	2422	9057
211	2433	9043
212	2443	9027
213	2454	9015
214	2465	9001
215	2476	8988
216	2487	8974
217	2498	8962
218	2509	8948
219	2519	8933
220	2530	8919
221	2540	8904
222	2552	8892
223	2563	8879
