ID,Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Num_Distinct_Arrest_Crime_Types,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Num_Distinct_Conviction_Crime_Types,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Violations_Instruction,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,Num_Drugs_Used,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Training_Sample
1,0,0,6,0,3.0,3,3,3,4,6,0,0,4,0,0,0,0,1,1,0,0,6,0,2,232.57728486125,0,0.488562092,0.447610294,0,0,0,1
2,0,0,4,0,6.0,1,1,2,4,7,1,0,8,1,1,1,0,0,0,1,4,0,0,2,35.66666667,0,0.425233645,2.0,0,1,0,1
3,0,0,7,0,7.0,3,3,3,2,7,1,0,6,0,1,0,0,1,1,1,4,6,0,0,93.66666667,2,0.0,0.0,0,1,0,1
4,0,1,5,0,7.0,1,1,1,2,6,0,0,4,0,0,0,1,1,1,0,0,6,0,3,25.4,0,1.0,0.718996063,0,0,0,1
5,0,1,4,0,4.0,1,3,2,2,7,1,0,5,0,0,0,0,1,1,0,0,7,0,0,23.11764706,1,0.203562341,0.929389313,0,1,1,1
6,0,1,5,0,5.0,2,0,1,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,3,232.57728486125,0,0.674252002,0.30783818,0,0,0,0
7,0,0,7,0,2.0,1,2,5,1,7,0,1,6,1,0,1,0,0,0,0,0,0,0,1,232.57728486125,0,0.0,0.0,0,1,0,1
8,0,0,5,0,5.0,2,3,3,3,6,0,0,6,1,0,0,0,0,1,0,0,0,0,0,34.775,0,0.469446441,0.525161754,0,0,0,0
9,1,0,6,1,7.0,2,0,3,1,6,0,0,5,1,0,0,1,1,0,0,0,0,0,0,55.424812,0,0.0,0.0,1,1,1,1
10,0,0,6,0,5.0,2,3,1,4,8,1,1,8,1,1,1,0,0,1,0,0,0,0,0,27.8,0,0.35971223,1.0,0,1,1,1
11,0,1,6,0,3.0,1,1,2,2,7,1,0,5,1,0,0,0,1,1,1,0,9,2,2,42.8,2,1.0,3.413551402,1,1,0,1
12,0,0,4,0,5.0,2,3,4,2,6,0,0,4,0,0,0,1,1,1,1,4,10,0,0,8.04,2,0.0,0.0,1,1,1,0
13,0,1,7,0,3.0,1,1,1,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,1,55.424812,2,0.0,2.37871809,0,0,0,1
14,0,0,4,1,7.0,2,0,3,2,6,0,0,5,0,0,0,0,1,0,0,0,10,0,1,55.424812,0,1.0,1.0,0,1,1,1
15,0,1,4,0,7.0,1,1,2,3,7,0,1,6,1,0,0,0,1,1,0,0,6,0,1,98.75,0,0.0,0.0,1,0,0,0
16,0,0,4,0,4.0,1,3,5,4,7,0,1,5,1,0,0,0,1,1,0,0,2,0,0,74.5,0,0.338926174,0.61283557,0,0,0,0
17,0,0,5,0,6.0,1,3,1,2,7,1,0,6,1,0,0,1,1,1,0,0,10,0,0,114.5,0,0.545851528,2.0,0,1,1,1
18,0,1,6,0,1.0,2,3,1,1,8,1,1,5,1,0,0,0,1,0,0,0,0,0,2,55.424812,0,0.452138493,0.74389002,0,1,0,1
19,0,0,7,0,7.0,3,3,1,4,6,0,0,5,1,0,0,0,0,1,0,3,0,0,2,43.66666667,0,0.918575064,0.464694656,0,0,0,1
20,0,1,7,0,3.0,1,0,1,2,7,0,1,6,1,0,1,1,1,1,0,4,0,0,1,228.0,0,0.794736842,0.320394737,0,1,0,1
21,0,0,5,0,3.0,2,3,2,1,7,1,0,7,1,1,0,0,1,0,0,0,1,0,0,55.424812,0,1.0,2.0,0,0,0,1
22,0,0,4,0,5.0,1,3,3,2,6,0,0,5,1,0,0,1,1,1,0,0,6,0,0,22.85,1,1.0,3.196936543,0,0,0,1
23,1,1,7,0,4.0,2,0,2,2,7,1,0,6,0,1,0,0,1,1,0,0,6,0,0,15.5,1,0.0,0.0,0,0,0,0
24,1,1,6,0,5.0,1,0,4,2,7,1,0,5,1,0,0,0,1,0,0,0,0,0,1,55.424812,0,0.99137931,1.0,0,0,0,1
25,0,0,5,0,5.0,1,3,3,1,7,1,0,6,1,0,0,1,0,0,0,0,0,0,1,196.0,0,0.196428571,0.931760204,0,1,1,1
26,0,1,7,0,2.0,1,1,1,2,6,0,0,5,1,0,0,0,1,0,0,0,0,0,1,55.424812,0,1.0,2.0,0,1,1,1
27,0,1,7,0,2.0,1,0,3,2,6,0,0,5,1,0,0,0,1,0,0,4,6,0,0,31.0,0,0.806451613,1.0,0,0,0,0
28,0,1,7,0,3.0,1,0,4,2,6,0,0,6,1,0,0,0,1,1,0,0,5,3,1,43.14285714,0,0.0,0.0,0,1,0,0
29,0,0,6,0,6.0,2,0,1,3,7,0,1,5,1,0,0,0,1,1,0,0,0,0,3,232.57728486125,0,0.895355344,0.204392837,1,0,0,1
30,0,0,1,0,10.0,1,0,1,2,6,0,0,4,0,0,0,0,1,0,0,0,0,0,3,232.57728486125,1,0.0,0.0,0,1,1,1
31,0,1,6,0,10.0,3,0,1,2,8,1,1,5,1,0,0,1,1,0,1,4,2,0,0,23.8,2,0.714285714,1.0,0,1,1,0
32,1,1,6,1,9.0,1,0,1,2,6,0,0,6,1,0,0,0,1,1,0,0,10,0,1,55.424812,0,1.0,0.706479691,1,0,0,1
33,0,1,6,1,8.0,2,1,3,2,7,0,1,7,1,0,1,0,1,1,0,0,6,2,0,101.0,0,0.0,0.0,0,1,0,1
34,1,1,5,1,10.0,3,3,1,2,6,0,0,5,1,0,0,1,1,0,0,0,6,0,0,44.625,0,0.0,0.0,1,1,1,1
35,0,1,4,0,4.0,1,0,3,1,7,0,1,5,1,0,0,0,0,0,0,2,3,2,0,12.71428571,3,0.0,0.0,0,1,1,0
36,0,0,7,0,2.0,1,0,3,1,6,0,0,5,1,0,0,0,1,0,1,4,1,1,2,27.72727273,1,0.654098361,0.598770492,1,0,0,1
37,0,1,6,0,3.0,2,2,3,1,6,0,0,6,1,0,0,0,1,1,0,0,0,0,0,55.424812,0,0.0,0.0,0,0,0,1
38,0,0,4,1,6.0,1,0,1,3,6,0,0,5,1,0,0,0,1,1,1,3,0,0,1,71.06666667,1,0.0,0.0,0,1,0,1
39,0,0,4,0,3.0,2,3,2,1,6,0,0,6,1,0,0,0,1,0,0,0,4,1,0,13.16666667,0,1.0,1.0,0,1,0,1
40,1,0,5,0,2.0,3,1,1,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,55.424812,0,0.981412639,1.0,0,0,0,1
41,0,1,4,0,10.0,2,1,1,4,6,0,0,6,1,0,0,0,1,1,0,2,4,3,1,16.28571429,2,1.0,1.0,0,1,1,1
42,0,0,7,0,3.0,2,3,2,2,7,0,1,7,1,1,0,1,0,1,0,0,0,0,0,136.5,0,0.886446886,2.0,0,0,0,1
43,1,1,6,1,2.0,3,0,1,1,6,0,0,5,1,0,0,0,1,0,0,0,5,2,2,55.424812,0,0.0,0.0,0,1,1,0
44,0,1,4,0,9.0,2,3,2,1,7,0,1,7,1,0,1,0,1,1,0,4,10,3,0,145.5,0,0.0,0.0,0,1,1,0
45,0,0,6,1,5.0,2,0,3,2,7,0,1,7,1,0,1,0,1,1,0,4,0,0,2,56.33333333,0,1.0,2.0,0,1,0,0
46,0,0,5,0,4.0,1,3,2,3,6,0,0,6,1,0,0,0,0,0,0,0,4,0,0,25.77272727,0,0.50617284,1.288359788,0,1,0,0
47,0,1,5,0,4.0,2,2,3,1,6,0,0,5,1,0,0,0,1,0,0,4,6,0,0,16.86,3,0.985765125,0.433274021,0,0,0,1
48,0,1,5,0,3.0,2,1,5,2,6,0,0,4,0,0,0,0,0,1,0,0,10,0,0,97.8,0,1.0,1.493865031,0,0,0,1
49,0,1,4,0,4.0,2,3,4,1,7,0,1,6,1,0,1,0,1,0,0,0,6,0,3,109.3333333,0,0.734756098,2.0,0,1,1,0
50,0,0,5,0,9.0,1,0,3,3,6,0,0,4,0,0,0,0,0,0,0,0,3,0,3,50.31578947,0,1.0,2.292364017,0,0,0,1
51,1,1,6,0,7.0,3,0,1,2,7,0,1,5,1,0,0,0,1,1,1,4,10,0,3,33.84848485,1,0.064458371,0.326991943,0,0,0,1
52,0,1,4,0,9.0,3,0,3,1,6,0,0,5,1,0,0,0,1,1,0,2,0,0,1,55.424812,0,0.0,0.0,0,1,1,1
53,0,1,1,0,8.0,3,3,4,2,7,1,0,7,1,1,0,0,1,1,1,4,10,2,3,15.87878788,3,0.286259542,2.091125954,1,1,0,1
54,0,0,7,0,5.0,1,3,3,1,6,0,0,5,1,0,0,0,1,0,0,0,0,0,0,55.424812,0,0.0,0.0,0,0,0,1
55,0,0,5,0,5.0,2,3,1,2,6,0,0,5,1,0,0,0,0,0,0,0,10,1,0,36.89655172,0,0.945794393,0.34135514,0,0,0,1
56,0,0,2,0,8.0,1,3,1,3,7,1,0,6,0,1,0,0,1,1,1,4,8,1,3,232.57728486125,1,0.0,0.0,0,1,1,1
57,0,0,5,0,5.0,2,0,5,2,6,0,0,5,1,0,0,0,0,0,0,4,10,3,0,57.1875,0,1.0,0.798360656,0,1,0,1
58,0,1,4,0,7.0,1,1,1,2,7,0,1,6,1,0,0,0,1,0,0,0,0,0,2,55.424812,0,0.816425121,2.0,0,1,0,0
59,0,0,5,0,5.0,3,0,2,3,7,1,0,7,1,1,0,0,0,1,0,4,0,0,2,115.7142857,1,0.0,0.0,0,1,0,0
60,0,0,4,0,7.0,2,3,1,2,6,0,0,4,0,0,0,0,1,1,0,0,6,1,0,232.57728486125,0,0.211466165,0.343280075,0,1,1,1
61,0,1,6,0,6.0,1,3,2,2,7,0,1,5,1,0,0,0,1,0,0,0,10,1,0,12.21621622,1,0.0,0.0,0,1,0,0
62,0,0,4,0,9.0,1,1,1,3,6,0,0,4,0,0,0,0,1,1,1,0,10,3,0,78.0,1,0.220647773,0.24645749,0,0,0,1
63,1,1,7,0,3.0,1,0,1,1,6,0,0,5,1,0,0,0,1,1,0,0,0,0,1,13.53846154,0,0.0,0.0,0,0,0,1
64,0,0,6,0,3.0,2,2,1,1,6,0,0,5,1,0,0,0,1,0,0,0,0,3,0,135.6666667,0,0.314496314,0.897420147,0,0,0,0
65,1,1,6,0,7.0,2,2,4,3,7,1,0,6,1,0,1,1,1,1,0,0,1,0,1,33.2,2,0.954819277,0.550075301,0,0,0,1
66,1,1,7,1,7.0,2,0,1,2,6,0,0,4,0,0,0,0,1,1,1,4,9,0,0,159.875,1,0.254104769,0.285574668,0,1,1,1
67,0,0,4,1,10.0,3,0,1,2,6,0,0,5,1,0,0,0,1,0,1,0,0,0,1,22.5,0,0.0,0.0,0,1,1,1
